Home ID,Location City,Location Region,Appliance Type,Energy Consumption (kWh),Time,Date,TOU Period,Tariff Plan,Tariff ($/kWh),Outdoor Temperature (C),Indoor Temperature (C),Season,Household Size,Device Smartness,Uses PowerPulse Plug,Data Source,Measurement Accuracy (%),Room / Zone,Voltage (V),Current (A),Appliance Efficiency Rating,Occupancy / Motion Detected
1,Austin,"TX, USA",Air Conditioning,0.928,02:40,6/1/23,offpeak,TOU,0.184,37.1,22.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.22,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.969,03:28,6/1/23,offpeak,TOU,0.179,37.1,22.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.4,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.989,04:04,6/1/23,offpeak,TOU,0.183,37.1,22.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.5,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.566,05:38,6/1/23,offpeak,TOU,0.184,37.1,22.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,2.57,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.375,09:37,6/1/23,shoulder,TOU,0.218,37.1,22.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.25,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.142,14:31,6/1/23,shoulder,TOU,0.221,37.1,22.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.19,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.702,07:06,6/2/23,shoulder,TOU,0.221,29.1,24.5,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.19,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.772,08:04,6/2/23,shoulder,TOU,0.218,29.1,24.5,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.51,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.438,09:13,6/2/23,shoulder,TOU,0.215,29.1,24.5,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.54,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.098,10:25,6/2/23,shoulder,TOU,0.225,29.1,24.5,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.99,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.852,16:49,6/2/23,peak,TOU,0.271,29.1,24.5,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.87,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.783,22:00,6/2/23,offpeak,TOU,0.178,29.1,24.5,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.56,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.677,05:08,6/3/23,offpeak,TOU,0.182,22.4,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.08,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.003,06:26,6/3/23,offpeak,TOU,0.176,22.4,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.56,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.675,14:51,6/3/23,shoulder,TOU,0.224,22.4,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.07,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.809,16:11,6/3/23,peak,TOU,0.265,22.4,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,8.22,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.807,17:36,6/3/23,peak,TOU,0.271,22.4,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,8.21,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.57,21:28,6/3/23,offpeak,TOU,0.176,22.4,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,2.59,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.988,00:37,6/4/23,offpeak,TOU,0.176,32.2,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.49,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.424,07:24,6/4/23,shoulder,TOU,0.216,32.2,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.47,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.24,11:14,6/4/23,shoulder,TOU,0.218,32.2,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.64,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.328,11:40,6/4/23,shoulder,TOU,0.217,32.2,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.04,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.487,19:30,6/4/23,peak,TOU,0.269,32.2,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.76,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.212,20:02,6/4/23,peak,TOU,0.266,32.2,21.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.51,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.943,02:39,6/5/23,offpeak,TOU,0.184,34.1,23.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.29,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.742,04:13,6/5/23,offpeak,TOU,0.184,34.1,23.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.37,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.59,05:15,6/5/23,offpeak,TOU,0.179,34.1,23.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,2.68,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.717,07:33,6/5/23,shoulder,TOU,0.218,34.1,23.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.26,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.758,15:28,6/5/23,shoulder,TOU,0.216,34.1,23.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.45,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.013,23:37,6/5/23,offpeak,TOU,0.182,34.1,23.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.6,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.764,02:04,6/6/23,offpeak,TOU,0.176,38.5,22.4,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.47,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.866,02:02,6/6/23,offpeak,TOU,0.179,38.5,22.4,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.94,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.389,15:22,6/6/23,shoulder,TOU,0.224,38.5,22.4,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.31,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.485,19:55,6/6/23,peak,TOU,0.274,38.5,22.4,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.75,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.754,20:31,6/6/23,peak,TOU,0.265,38.5,22.4,Summer,2,Unknown,FALSE,App,92,Bedroom,220,7.97,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.99,23:37,6/6/23,offpeak,TOU,0.179,38.5,22.4,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.5,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.091,12:33,6/7/23,shoulder,TOU,0.22,21.6,24.1,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.96,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.954,14:01,6/7/23,shoulder,TOU,0.216,21.6,24.1,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.34,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.537,14:49,6/7/23,shoulder,TOU,0.216,21.6,24.1,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.99,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.041,18:19,6/7/23,peak,TOU,0.265,21.6,24.1,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.73,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.028,22:10,6/7/23,offpeak,TOU,0.177,21.6,24.1,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.67,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.015,23:57,6/7/23,offpeak,TOU,0.179,21.6,24.1,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.61,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.638,06:53,6/8/23,offpeak,TOU,0.18,33.3,23.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,2.9,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.052,06:17,6/8/23,offpeak,TOU,0.185,33.3,23.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.78,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.777,07:59,6/8/23,shoulder,TOU,0.22,33.3,23.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.53,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.423,10:33,6/8/23,shoulder,TOU,0.219,33.3,23.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.47,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.28,12:53,6/8/23,shoulder,TOU,0.222,33.3,23.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.82,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.108,18:17,6/8/23,peak,TOU,0.273,33.3,23.9,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.04,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.101,00:40,6/9/23,offpeak,TOU,0.183,25.6,23.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.861,06:41,6/9/23,offpeak,TOU,0.181,25.6,23.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.91,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.538,07:12,6/9/23,shoulder,TOU,0.222,25.6,23.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.99,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.905,08:48,6/9/23,shoulder,TOU,0.222,25.6,23.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.11,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.156,12:14,6/9/23,shoulder,TOU,0.215,25.6,23.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.25,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.376,14:33,6/9/23,shoulder,TOU,0.22,25.6,23.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.25,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.811,00:56,6/10/23,offpeak,TOU,0.181,35.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.69,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.874,04:13,6/10/23,offpeak,TOU,0.182,35.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.97,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.06,06:41,6/10/23,offpeak,TOU,0.183,35.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.82,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.867,14:05,6/10/23,shoulder,TOU,0.224,35.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.94,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.158,14:20,6/10/23,shoulder,TOU,0.223,35.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.26,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.718,20:22,6/10/23,peak,TOU,0.274,35.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,7.81,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.034,01:30,6/11/23,offpeak,TOU,0.184,26.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.7,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.26,02:33,6/11/23,offpeak,TOU,0.184,26.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.73,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.221,05:44,6/11/23,offpeak,TOU,0.18,26.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.55,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.357,10:35,6/11/23,shoulder,TOU,0.219,26.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.17,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.423,13:10,6/11/23,shoulder,TOU,0.221,26.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.47,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.099,17:54,6/11/23,peak,TOU,0.269,26.8,24.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.928,00:58,6/12/23,offpeak,TOU,0.175,22.8,23,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.22,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.932,00:07,6/12/23,offpeak,TOU,0.185,22.8,23,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.24,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.607,03:59,6/12/23,offpeak,TOU,0.177,22.8,23,Summer,2,Unknown,FALSE,App,92,Bedroom,220,2.76,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.047,12:59,6/12/23,shoulder,TOU,0.225,22.8,23,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.76,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.055,16:08,6/12/23,peak,TOU,0.27,22.8,23,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.8,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.225,19:57,6/12/23,peak,TOU,0.273,22.8,23,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.57,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.035,00:22,6/13/23,offpeak,TOU,0.178,22.2,22.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.7,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.986,00:46,6/13/23,offpeak,TOU,0.176,22.2,22.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.48,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.153,01:45,6/13/23,offpeak,TOU,0.181,22.2,22.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.24,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.045,04:01,6/13/23,offpeak,TOU,0.184,22.2,22.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.75,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.996,06:39,6/13/23,offpeak,TOU,0.183,22.2,22.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.53,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.159,07:34,6/13/23,shoulder,TOU,0.224,22.2,22.3,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.27,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.697,05:56,6/14/23,offpeak,TOU,0.185,37,22.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.17,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.636,06:46,6/14/23,offpeak,TOU,0.177,37,22.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,2.89,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.909,10:53,6/14/23,shoulder,TOU,0.216,37,22.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.13,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.164,10:12,6/14/23,shoulder,TOU,0.222,37,22.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.29,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.24,11:06,6/14/23,shoulder,TOU,0.223,37,22.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.64,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.366,19:52,6/14/23,peak,TOU,0.269,37,22.2,Summer,2,Unknown,FALSE,App,92,Bedroom,220,6.21,B,FALSE
1,Austin,"TX, USA",Air Conditioning,0.982,00:30,6/15/23,offpeak,TOU,0.184,30.1,23.6,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.46,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.676,01:11,6/15/23,offpeak,TOU,0.176,30.1,23.6,Summer,2,Unknown,FALSE,App,92,Bedroom,220,3.07,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.253,02:06,6/15/23,offpeak,TOU,0.184,30.1,23.6,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.7,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.637,03:04,6/15/23,offpeak,TOU,0.182,30.1,23.6,Summer,2,Unknown,FALSE,App,92,Bedroom,220,2.9,B,TRUE
1,Austin,"TX, USA",Air Conditioning,0.969,15:32,6/15/23,shoulder,TOU,0.22,30.1,23.6,Summer,2,Unknown,FALSE,App,92,Bedroom,220,4.4,B,FALSE
1,Austin,"TX, USA",Air Conditioning,1.221,17:00,6/15/23,peak,TOU,0.271,30.1,23.6,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.55,B,TRUE
1,Austin,"TX, USA",Air Conditioning,1.117,00:55,6/16/23,offpeak,TOU,0.182,23.6,22.7,Summer,2,Unknown,FALSE,App,92,Bedroom,220,5.08,B,FALSE
